C2_EMISSAO	C2_NUM	C2_PRODUTO	B1_DESC	C2_QUANT	B1_YQTML	B1_YCONC	C2_YDOSSIE	C2_YLOTE	B1_YREGANS	B1_CODBAR
31/10/2025	146680	12030001       	BOMBONA  RETANGULAR 5000ML                        	4578	5000	0	25L0958-R      	25L0958-R 	             	               
31/10/2025	146679	12030001       	BOMBONA  RETANGULAR 5000ML                        	4578	5000	0	25L0957-R      	25L0957-R 	             	               
31/10/2025	146678	12030001       	BOMBONA  RETANGULAR 5000ML                        	4578	5000	0	25L0956-R      	25L0956-R 	             	               
31/10/2025	146677	12030001       	BOMBONA  RETANGULAR 5000ML                        	4578	5000	0	25L0955-R      	25L0955-R 	             	               
31/10/2025	146676	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5455B/25       	25J5455B  	1108500010193	               
31/10/2025	146675	07040015       	DIPIFARMA INJETAVEL(DIPIRONA MONOIDR 500MG/ML) 2ML	220150	2	0	1011/2025      	DP25L295  	1108500180048	               
31/10/2025	146674	08040015       	DIPIFARMA - 2ML - PREPARADO                       	500	0	0	1011/2025      	DP25L295/1	             	
31/10/2025	146673	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8880C/25       	25L8880C  	1108500010037	               
31/10/2025	146672	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8879C/25       	25L8879C  	1108500010037	               
31/10/2025	146671	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8878C/25       	25L8878C  	1108500010037	               
31/10/2025	146670	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8877C/25       	25L8877C  	1108500010037	               
31/10/2025	146669	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8876C/25       	25L8876C  	1108500010037	               
31/10/2025	146668	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8875C/25       	25L8875C  	1108500010037	               
31/10/2025	146667	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8874C/25       	25L8874C  	1108500010037	               
31/10/2025	146666	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8873C/25       	25L8873C  	1108500010037	               
31/10/2025	146665	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8872C/25       	25L8872C  	1108500010037	               
31/10/2025	146664	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8871C/25       	25L8871C  	1108500010037	               
31/10/2025	146663	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8870C/25       	25L8870C  	1108500010037	               
31/10/2025	146662	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8869C/25       	25L8869C  	1108500010037	               
31/10/2025	146661	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8868C/25       	25L8868C  	1108500010037	               
31/10/2025	146660	07010026       	AGUA PARA INJECAO 10ML - SF                       	190476	10	0	0402I/25       	25L0402I  	1108500110066	               
31/10/2025	146659	07010026       	AGUA PARA INJECAO 10ML - SF                       	190476	10	0	0401I/25       	25L0401I  	1108500110066	               
31/10/2025	146658	07010026       	AGUA PARA INJECAO 10ML - SF                       	190476	10	0	0400I/25       	25L0400I  	1108500110066	               
31/10/2025	146657	07010026       	AGUA PARA INJECAO 10ML - SF                       	190476	10	0	0399I/25       	25L0399I  	1108500110066	               
31/10/2025	146656	07010012       	SOL. CLORETO DE SODIO 0,9% 100ML - SF             	37254	100	0	0475A/25       	25L0475A  	1108500010215	               
31/10/2025	146655	07010012       	SOL. CLORETO DE SODIO 0,9% 100ML - SF             	37254	100	0	0474A/25       	25L0474A  	1108500010215	               
31/10/2025	146654	07010012       	SOL. CLORETO DE SODIO 0,9% 100ML - SF             	37254	100	0	0473A/25       	25L0473A  	1108500010215	               
31/10/2025	146653	07010012       	SOL. CLORETO DE SODIO 0,9% 100ML - SF             	37254	100	0	0472A/25       	25L0472A  	1108500010215	               
31/10/2025	146652	07010014       	SOL. GLICOSE 5% 100ML - SF                        	37254	100	0	0471A/25       	25L0471A  	1108500220074	               
31/10/2025	146651	07010014       	SOL. GLICOSE 5% 100ML - SF                        	37254	100	0	0470A/25       	25L0470A  	1108500220074	               
31/10/2025	146650	07010014       	SOL. GLICOSE 5% 100ML - SF                        	37254	100	0	0469A/25       	25L0469A  	1108500220074	               
31/10/2025	146649	07010014       	SOL. GLICOSE 5% 100ML - SF                        	37254	100	0	0468A/25       	25L0468A  	1108500220074	               
31/10/2025	146646	07010012       	SOL. CLORETO DE SODIO 0,9% 100ML - SF             	196078	100	0	0215H/25       	25L0215H  	1108500010215	               
31/10/2025	146645	07010012       	SOL. CLORETO DE SODIO 0,9% 100ML - SF             	196078	100	0	0214H/25       	25L0214H  	1108500010215	               
31/10/2025	146644	07010012       	SOL. CLORETO DE SODIO 0,9% 100ML - SF             	196078	100	0	0213H/25       	25L0213H  	1108500010215	               
31/10/2025	146643	07030003       	CPHD - FRACAO BASICA 5.000ML                      	2400	5000	0	FB25L636       	FB25L636  	1108500440015	               
31/10/2025	146642	07030003       	CPHD - FRACAO BASICA 5.000ML                      	2400	5000	0	FB25L635       	FB25L635  	1108500440015	               
31/10/2025	146641	07030003       	CPHD - FRACAO BASICA 5.000ML                      	2400	5000	0	FB25L634       	FB25L634  	1108500440015	               
31/10/2025	146640	07030003       	CPHD - FRACAO BASICA 5.000ML                      	2400	5000	0	FB25L633       	FB25L633  	1108500440015	               
31/10/2025	146639	07030003       	CPHD - FRACAO BASICA 5.000ML                      	2400	5000	0	FB25L632       	FB25L632  	1108500440015	               
31/10/2025	146638	07030003       	CPHD - FRACAO BASICA 5.000ML                      	2400	5000	0	FB25L631       	FB25L631  	1108500440015	               
31/10/2025	146637	07030003       	CPHD - FRACAO BASICA 5.000ML                      	2400	5000	0	FB25L630       	FB25L630  	1108500440015	               
31/10/2025	146636	07030003       	CPHD - FRACAO BASICA 5.000ML                      	2400	5000	0	FB25L629       	FB25L629  	1108500440015	               
31/10/2025	146635	07030003       	CPHD - FRACAO BASICA 5.000ML                      	2400	5000	0	FB25J628       	FB25J628  	1108500440015	               
31/10/2025	146634	07030003       	CPHD - FRACAO BASICA 5.000ML                      	2400	5000	0	FB25J627       	FB25J627  	1108500440015	               
31/10/2025	146633	07060009       	DEXAMETASONA ELIXIR 0,1 MG/ML 100ML - HOSP        	19851	100	0	DB.345/25      	DB25J345  	1108500350024	               
31/10/2025	146632	07030003       	CPHD - FRACAO BASICA 5.000ML                      	2400	5000	0	FB25J626       	FB25J626  	1108500440015	               
30/10/2025	146630	12030001       	BOMBONA  RETANGULAR 5000ML                        	4578	5000	0	25J0954-R      	25J0954-R 	             	               
30/10/2025	146629	12030001       	BOMBONA  RETANGULAR 5000ML                        	4578	5000	0	25J0953-R      	25J0953-R 	             	               
30/10/2025	146625	07010013       	SOL. CLORETO DE SODIO 0,9% 250ML - SF             	17254	250	0	16497F/25      	25J16497F 	1108500010207	               
30/10/2025	146624	07010013       	SOL. CLORETO DE SODIO 0,9% 250ML - SF             	17254	250	0	16496F/25      	25J16496F 	1108500010207	               
30/10/2025	146623	07010032       	SOL. RINGER COM LACTATO 500ML - SF                	19607	500	0	12675E/25      	25J12675E 	1108500420049	               
30/10/2025	146623	07010032       	SOLUCAO DE GLICERINA - FCO 500ML                  	19607	0	0	12675E/25      	25J12675E 	             	               
30/10/2025	146622	07010032       	SOL. RINGER COM LACTATO 500ML - SF                	19607	500	0	12674E/25      	25J12674E 	1108500420049	               
30/10/2025	146622	07010032       	SOLUCAO DE GLICERINA - FCO 500ML                  	19607	0	0	12674E/25      	25J12674E 	             	               
30/10/2025	146621	07010026       	AGUA PARA INJECAO 10ML - SF                       	95238	10	0	10905D/25      	25J10905D 	1108500110066	               
30/10/2025	146620	07010026       	AGUA PARA INJECAO 10ML - SF                       	95238	10	0	10904D/25      	25J10904D 	1108500110066	               
30/10/2025	146618	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5454B/25       	25J5454B  	1108500010193	               
30/10/2025	146617	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5453B/25       	25J5453B  	1108500010193	               
30/10/2025	146615	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5452B/25       	25J5452B  	1108500010193	               
30/10/2025	146614	07060009       	DEXAMETASONA ELIXIR 0,1 MG/ML 100ML - HOSP        	19851	100	0	DB.344/25      	DB25J344  	1108500350024	               
30/10/2025	146613	07060009       	DEXAMETASONA ELIXIR 0,1 MG/ML 100ML - HOSP        	19851	100	0	DB.343/25      	DB25J343  	1108500350024	               
29/10/2025	146611	12030001       	BOMBONA  RETANGULAR 5000ML                        	4578	5000	0	25J0952-R      	25J0952-R 	             	               
29/10/2025	146610	12030001       	BOMBONA  RETANGULAR 5000ML                        	4578	5000	0	25J0951-R      	25J0951-R 	             	               
29/10/2025	146609	12030001       	BOMBONA  RETANGULAR 5000ML                        	4578	5000	0	25J0950-R      	25J0950-R 	             	               
29/10/2025	146608	12030001       	BOMBONA  RETANGULAR 5000ML                        	4578	5000	0	25J0949-R      	25J0949-R 	             	               
29/10/2025	146607	07040016       	BUTILBROMETO ESCOP+DIPIRONA MONOIDR(20MG+2,5G) 5ML	62356	5	0	707/2025       	HC25J165  	1108500260033	               
29/10/2025	146606	08040016       	BUTILBROMETO ESCOP+DIP - 5ML- PREPARADO           	360	0	0	707/2025       	HC25J165/1	             	
29/10/2025	146605	07040016       	BUTILBROMETO ESCOP+DIPIRONA MONOIDR(20MG+2,5G) 5ML	62832	5	0	706/2025       	HC25J164  	1108500260033	               
29/10/2025	146604	08040016       	BUTILBROMETO ESCOP+DIP - 5ML- PREPARADO           	360	0	0	706/2025       	HC25J164/1	             	
29/10/2025	146603	07040016       	BUTILBROMETO ESCOP+DIPIRONA MONOIDR(20MG+2,5G) 5ML	64260	5	0	705/2025       	HC25J163  	1108500260033	               
29/10/2025	146602	08040016       	BUTILBROMETO ESCOP+DIP - 5ML- PREPARADO           	360	0	0	705/2025       	HC25J163/1	             	
29/10/2025	146601	07060009       	DEXAMETASONA ELIXIR 0,1 MG/ML 100ML - HOSP        	19851	100	0	DB.340/25      	DB25J340  	1108500350024	               
29/10/2025	146600	07060009       	DEXAMETASONA ELIXIR 0,1 MG/ML 100ML - HOSP        	19851	100	0	DB.339/25      	DB25J339  	1108500350024	               
29/10/2025	146599	07060009       	DEXAMETASONA ELIXIR 0,1 MG/ML 100ML - HOSP        	19851	100	0	DB.342/25      	DB25J342  	1108500350024	               
29/10/2025	146598	07060009       	DEXAMETASONA ELIXIR 0,1 MG/ML 100ML - HOSP        	19851	100	0	DB.341/25      	DB25J341  	1108500350024	               
29/10/2025	146597	07010026       	AGUA PARA INJECAO 10ML - SF                       	190476	10	0	0401I/25       	25J0401I  	1108500110066	               
29/10/2025	146596	07010026       	AGUA PARA INJECAO 10ML - SF                       	190476	10	0	0400I/25       	25J0400I  	1108500110066	               
29/10/2025	146595	07010013       	SOL. CLORETO DE SODIO 0,9% 250ML - SF             	17254	250	0	16495F/25      	25J16495F 	1108500010207	               
29/10/2025	146594	07010032       	SOL. RINGER COM LACTATO 500ML - SF                	19607	500	0	12673E/25      	25J12673E 	1108500420049	               
29/10/2025	146594	07010032       	SOLUCAO DE GLICERINA - FCO 500ML                  	19607	0	0	12673E/25      	25J12673E 	             	               
29/10/2025	146593	07010036       	SOL. GLICOSE 50% 10ML - SF                        	95238	10	0	10903D/25      	25J10903D 	1108500090091	               
29/10/2025	146592	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8870C/25       	25J8870C  	1108500010037	               
29/10/2025	146591	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8869C/25       	25J8869C  	1108500010037	               
29/10/2025	146590	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5451B/25       	25J5451B  	1108500010193	               
29/10/2025	146589	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	  5450B/25     	25J5450B  	1108500010193	               
29/10/2025	146588	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5449B/25       	25J5449B  	1108500010193	               
29/10/2025	146587	07010001       	SOL. CLORETO DE SODIO 0,9% 500ML - SF             	7450	500	0	5448B/25       	25J5448B  	1108500010193	               
29/10/2025	146586	07010012       	SOL. CLORETO DE SODIO 0,9% 100ML - SF             	37254	100	0	0467A/25       	25J0467A  	1108500010215	               
29/10/2025	146585	07010012       	SOL. CLORETO DE SODIO 0,9% 100ML - SF             	37254	100	0	0466A/25       	25J0466A  	1108500010215	               
29/10/2025	146581	07030006       	CPHD - FRACAO ACIDA CALCIO 3,0 MEQ/L 1:44 5.000ML 	2400	5000	0	FD25J433       	FD25J433  	             	               
29/10/2025	146580	07030006       	CPHD - FRACAO ACIDA CALCIO 3,0 MEQ/L 1:44 5.000ML 	2400	5000	0	FD25J432       	FD25J432  	             	               
29/10/2025	146579	07030006       	CPHD - FRACAO ACIDA CALCIO 3,0 MEQ/L 1:44 5.000ML 	2400	5000	0	FD25J431       	FD25J431  	             	               
29/10/2025	146577	07030006       	CPHD - FRACAO ACIDA CALCIO 3,0 MEQ/L 1:44 5.000ML 	2400	5000	0	FD25J430       	FD25J430  	             	               
28/10/2025	146576	07030006       	CPHD - FRACAO ACIDA CALCIO 3,0 MEQ/L 1:44 5.000ML 	2400	5000	0	FD25J429       	FD25J429  	             	               
28/10/2025	146575	07030006       	CPHD - FRACAO ACIDA CALCIO 3,0 MEQ/L 1:44 5.000ML 	2400	5000	0	FD25J428       	FD25J428  	             	               
28/10/2025	146574	07030006       	CPHD - FRACAO ACIDA CALCIO 3,0 MEQ/L 1:44 5.000ML 	2400	5000	0	FD25J427       	FD25J427  	             	               
28/10/2025	146573	07030006       	CPHD - FRACAO ACIDA CALCIO 3,0 MEQ/L 1:44 5.000ML 	2400	5000	0	FD25J426       	FD25J426  	             	               
28/10/2025	146572	07030006       	CPHD - FRACAO ACIDA CALCIO 3,0 MEQ/L 1:44 5.000ML 	2400	5000	0	FD25J425       	FD25J425  	             	               
28/10/2025	146571	07030006       	CPHD - FRACAO ACIDA CALCIO 3,0 MEQ/L 1:44 5.000ML 	2400	5000	0	FD25J424       	FD25J424  	             	               
28/10/2025	146570	07030006       	CPHD - FRACAO ACIDA CALCIO 3,0 MEQ/L 1:44 5.000ML 	2400	5000	0	FD25J423       	FD25J423  	             	               
28/10/2025	146568	12030001       	BOMBONA  RETANGULAR 5000ML                        	4578	5000	0	25J0948-R      	25J0948-R 	             	               
28/10/2025	146567	12030001       	BOMBONA  RETANGULAR 5000ML                        	4578	5000	0	25J0947-R      	25J0947-R 	             	               
28/10/2025	146565	07040002       	FOSFATO DISSODICO DE DEXAMETASONA 4MG/ML AMP 2,5ML	150195	2,5	0	1005/2025      	DX25J133  	1108500320060	               
28/10/2025	146564	07040013       	METROFARMA 2ML (METOCLOPRAMIDA HCL) 10MG/2ML      	222700	2	0	1004/2025      	MT25J063  	1108500210028	               
28/10/2025	146563	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8868C/25       	25J8868C  	1108500010037	               
28/10/2025	146562	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8867C/25       	25J8867C  	1108500010037	               
28/10/2025	146561	07010027       	SOL. CLORETO DE SODIO 0,9% DE 10ML - SF           	95238	10	0	8866C/25       	25J8866C  	1108500010037	               
28/10/2025	146560	07010012       	SOL. CLORETO DE SODIO 0,9% 100ML - SF             	37254	100	0	0465A/25       	25J0465A  	1108500010215	               
28/10/2025	146559	07010013       	SOL. CLORETO DE SODIO 0,9% 250ML - SF             	17254	250	0	16494F/25      	25J16494F 	1108500010207	               
28/10/2025	146558	07010013       	SOL. CLORETO DE SODIO 0,9% 250ML - SF             	17254	250	0	16493F/25      	25J16493F 	1108500010207	               
28/10/2025	146557	07010032       	SOL. RINGER COM LACTATO 500ML - SF                	19607	500	0	12672E/25      	25J12672E 	1108500420049	               
28/10/2025	146557	07010032       	SOLUCAO DE GLICERINA - FCO 500ML                  	19607	0	0	12672E/25      	25J12672E 	             	               
28/10/2025	146556	07010036       	SOL. GLICOSE 50% 10ML - SF                        	95238	10	0	10902D/25      	25J10902D 	1108500090091	               
28/10/2025	146555	07010036       	SOL. GLICOSE 50% 10ML - SF                        	95238	10	0	10901D/25      	25J10901D 	1108500090091	               
27/10/2025	146551	12030001       	BOMBONA  RETANGULAR 5000ML                        	4578	5000	0	25J0946-R      	25J0946-R 	             	               
27/10/2025	146550	12030001       	BOMBONA  RETANGULAR 5000ML                        	4578	5000	0	25J0945-R      	25J0945-R 	             	               
27/10/2025	146549	12030001       	BOMBONA  RETANGULAR 5000ML                        	4578	5000	0	25J0944-R      	25J0944-R 	             	               
27/10/2025	146548	12030001       	BOMBONA  RETANGULAR 5000ML                        	4578	5000	0	25J0943-R      	25J0943-R 	             	               
27/10/2025	146546	07040002       	FOSFATO DISSODICO DE DEXAMETASONA 4MG/ML AMP 2,5ML	150195	2,5	0	1003/2025      	DX25J132  	1108500320060	               
27/10/2025	146545	07040013       	METROFARMA 2ML (METOCLOPRAMIDA HCL) 10MG/2ML      	220150	2	0	1002/2025      	MT25J062  	1108500210028	               
27/10/2025	146544	07040016       	BUTILBROMETO ESCOP+DIPIRONA MONOIDR(20MG+2,5G) 5ML	62832	5	0	1001/2025      	HC25J162  	1108500260033	               
27/10/2025	146543	08040016       	BUTILBROMETO ESCOP+DIP - 5ML- PREPARADO           	360	0	0	1001/2025      	HC25J162/1	             	
27/10/2025	146542	07040002       	FOSFATO DISSODICO DE DEXAMETASONA 4MG/ML AMP 2,5ML	152551	2,5	0	1000/2025      	DX25J131  	1108500320060	               
27/10/2025	146541	07040016       	BUTILBROMETO ESCOP+DIPIRONA MONOIDR(20MG+2,5G) 5ML	63240	5	0	999/2025       	HC25J161  	1108500260033	               
27/10/2025	146540	08040016       	BUTILBROMETO ESCOP+DIP - 5ML- PREPARADO           	360	0	0	999/2025       	HC25J161/1	             	
27/10/2025	146539	07040002       	FOSFATO DISSODICO DE DEXAMETASONA 4MG/ML AMP 2,5ML	150195	2,5	0	998/2025       	DX25J130  	1108500320060	               
27/10/2025	146538	07040016       	BUTILBROMETO ESCOP+DIPIRONA MONOIDR(20MG+2,5G) 5ML	62356	5	0	997/2025       	HC25J160  	1108500260033	               
27/10/2025	146537	08040016       	BUTILBROMETO ESCOP+DIP - 5ML- PREPARADO           	360	0	0	997/2025       	HC25J160/1	             	
27/10/2025	146536	07040013       	METROFARMA 2ML (METOCLOPRAMIDA HCL) 10MG/2ML      	220150	2	0	996/2025       	MT25J061  	1108500210028	               
27/10/2025	146535	07040002       	FOSFATO DISSODICO DE DEXAMETASONA 4MG/ML AMP 2,5ML	150138	2,5	0	995/2025       	DX25J129  	1108500320060	               
27/10/2025	146534	07040016       	BUTILBROMETO ESCOP+DIPIRONA MONOIDR(20MG+2,5G) 5ML	62594	5	0	994/2025       	HC25J159  	1108500260033	               
27/10/2025	146533	08040016       	BUTILBROMETO ESCOP+DIP - 5ML- PREPARADO           	360	0	0	994/2025       	HC25J159/1	             	
27/10/2025	146532	07040016       	BUTILBROMETO ESCOP+DIPIRONA MONOIDR(20MG+2,5G) 5ML	62356	5	0	993/2025       	HC25J158  	1108500260033	               
